ttr
1400
1450
1400
1600
1600
1750
1600
1500
1580
1590
1600
1750
1600
1500
1570
1550
1800
1500
1490
1500
1550
1500
1500
1600
1750
1600
1500
1550
1500
1500
1600
1750
1680
1500
